,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
Gene455,250,156,207,92,180,178,120,247,253,379,323,386,225,133,172,249
Gene456,84,49,69,18,57,52,42,61,119,142,111,146,86,37,49,86
Gene457,72,41,55,19,51,66,35,73,93,113,97,119,62,33,42,75
Gene458,185,131,161,76,149,208,143,253,254,299,288,456,184,114,104,314
Gene459,147,114,130,68,123,125,100,173,216,235,181,259,130,98,103,202
Gene460,97,88,77,34,63,95,66,97,135,165,133,177,96,74,77,156
Gene461,103,90,98,41,101,132,64,130,167,205,174,247,110,89,90,187
Gene462,142,109,90,53,104,138,71,172,253,218,213,332,196,90,93,235
Gene463,65,54,43,29,63,37,44,83,85,105,110,151,70,45,51,106
Gene464,81,53,49,43,64,65,53,81,91,98,103,159,108,58,48,116
Gene465,66,40,38,25,35,74,54,71,101,97,106,141,80,41,42,111
Gene466,139,92,99,58,63,120,90,129,161,180,135,245,177,69,76,206
Gene467,237,215,218,64,157,222,158,206,344,336,298,563,263,122,131,312
Gene468,93,87,54,17,78,117,36,121,153,167,131,221,117,58,76,153
Gene469,85,49,49,19,55,95,35,100,121,164,96,220,113,36,59,106
Gene470,109,91,85,53,98,147,81,131,213,202,138,270,144,101,75,182
Gene471,114,76,72,53,104,105,76,129,145,163,163,249,158,52,92,174
Gene472,79,71,89,33,108,99,54,93,214,145,132,208,123,54,86,174
Gene473,231,163,175,71,178,247,128,271,346,306,278,516,311,144,158,375
Gene474,62,55,43,17,52,71,44,73,124,119,92,164,98,49,58,112
Gene475,59,39,33,13,34,80,26,78,99,86,76,120,87,29,40,93
Gene476,73,62,31,33,61,109,44,80,117,113,87,142,96,49,55,111
Gene477,78,63,52,41,65,85,36,96,128,118,101,145,96,61,69,140
Gene478,66,25,28,28,39,44,32,73,74,91,60,96,70,42,59,82
Gene479,47,11,20,15,83,42,47,98,48,90,47,41,74,130,156,100
Gene480,32,9,24,11,13,11,21,63,11,39,8,29,21,36,51,18
Gene481,310,213,370,103,79,67,78,219,398,468,312,426,47,31,34,34
Gene482,140,101,140,42,41,47,23,82,166,203,123,167,21,18,18,25
Gene483,310,247,345,139,150,159,110,245,451,515,282,467,153,103,145,141
Gene484,207,188,271,131,119,115,92,205,298,353,214,292,131,102,108,157
Gene485,266,238,319,199,160,135,112,288,376,552,293,352,188,133,164,195
Gene486,123,108,143,68,79,59,56,120,156,264,157,151,89,55,77,114
Gene487,403,344,597,197,88,113,56,259,473,631,367,400,58,67,30,48
Gene488,360,310,392,224,219,204,242,641,442,555,388,351,201,225,246,197
Gene489,713,644,778,440,498,383,487,1267,851,1155,761,822,494,497,500,543
Gene490,1649,1447,1675,804,962,905,963,2417,1973,2378,1640,1743,1072,868,969,986
Gene491,419,283,524,156,167,133,102,388,430,590,257,309,123,116,110,100
Gene492,406,293,538,145,116,198,79,301,468,590,244,450,120,83,53,110
Gene493,246,189,297,77,95,143,30,125,310,370,152,319,69,35,37,92
Gene494,253,153,216,90,72,74,39,129,199,310,148,195,45,36,46,66
Gene495,214,169,241,82,54,98,46,116,202,265,150,168,57,25,28,42
Gene496,560,447,634,210,155,219,93,360,591,671,356,619,127,82,70,175
Gene497,129,78,125,35,37,54,21,82,106,142,77,122,28,24,21,41
Gene498,121,79,113,47,26,37,17,62,88,147,72,107,28,25,18,23
Gene499,255,195,295,119,68,117,44,205,258,335,176,272,60,35,58,73
Gene500,277,213,323,175,54,102,22,195,278,288,171,320,73,42,37,55
